,euctr_id,euctr_results_inc,euctr_results_date,nct_id,ctgov_results_inc,ctgov_results_date,journal_results_inc,journal_pub_date,min_date,max_date,results_counts,earliest_results,Unnamed: 0,eudract_number,final_date,inferred,euctr_days,ctg_days,pub_days
94,2014-001096-31,1,2017-07-29,NCT02384538,1,2017-07-13,1,2018-12-14,2017-07-13,2018-12-14,3,CTgov,11505,2014-001096-31,2016-07-13,0,381.0,365.0,884.0
95,2012-005332-29,0,,,0,,1,2019-07-24,2019-07-24,2019-07-24,1,Journal,11243,2012-005332-29,2016-01-21,1,1786.0,1786.0,1280.0
96,2010-022812-37,0,,NCT01354392,0,,1,2015-02-26,2015-02-26,2015-02-26,1,Journal,6106,2010-022812-37,2013-09-09,0,2650.0,2650.0,535.0
97,2009-015681-55,1,2016-07-22,NCT00992563,0,,0,,2016-07-22,2016-07-22,1,EUCTR,22042,2009-015681-55,2011-05-11,0,1899.0,3502.0,3502.0
98,2013-005464-25,1,2016-08-30,NCT02035748,1,2016-10-12,1,2019-12-01,2016-08-30,2019-12-01,3,EUCTR,5812,2013-005464-25,2015-09-02,0,363.0,406.0,1551.0
99,2011-003574-84,1,2015-07-18,NCT01507168,0,,1,2016-04-13,2015-07-18,2016-04-13,2,EUCTR,11495,2011-003574-84,2015-08-20,0,-33.0,1940.0,237.0
100,2012-001249-41,0,,NCT01745263,0,,1,2020-11-10,2020-11-10,2020-11-10,1,Journal,22335,2012-001249-41,2017-11-17,0,1120.0,1120.0,1089.0
101,2007-004226-25,1,2019-01-18,,0,,0,,2019-01-18,2019-01-18,1,EUCTR,3971,2007-004226-25,2010-06-17,0,3137.0,3830.0,3830.0
102,2006-002590-44,1,2016-09-30,NCT00396955,0,,0,,2016-09-30,2016-09-30,1,EUCTR,1340,2006-002590-44,2007-11-01,0,3256.0,4789.0,4789.0
103,2013-001103-36,1,2016-07-20,NCT01892787,0,,1,2015-07-26,2015-07-26,2016-07-20,2,Journal,14204,2013-001103-36,2014-12-17,0,581.0,2186.0,221.0
104,2010-020126-17,1,2016-02-20,NCT01238861,1,2016-11-17,1,2014-10-08,2014-10-08,2016-11-17,3,Journal,23308,2010-020126-17,2013-08-15,0,919.0,1190.0,419.0
105,2015-000159-26,1,2018-01-12,NCT02403895,1,2018-07-03,0,,2018-01-12,2018-07-03,2,EUCTR,21373,2015-000159-26,2016-12-29,0,379.0,551.0,1443.0
106,2012-003137-41,1,2016-03-16,NCT02021461,1,2014-04-03,0,,2014-04-03,2016-03-16,2,CTgov,20469,2012-003137-41,2012-12-31,0,1171.0,458.0,2902.0
107,2009-013165-25,1,2015-07-26,NCT01078376,1,2014-07-25,1,2016-01-04,2014-07-25,2016-01-04,3,CTgov,3801,2009-013165-25,2013-07-10,0,746.0,380.0,908.0
108,2013-000639-29,0,,,0,,1,2018-04-17,2018-04-17,2018-04-17,1,Journal,2548,2013-000639-29,2017-02-20,0,1390.0,1390.0,421.0
109,2008-005319-16,1,2014-11-12,NCT00861484,0,,1,2020-11-20,2014-11-12,2020-11-20,2,EUCTR,22231,2008-005319-16,2009-12-11,0,1797.0,4018.0,3997.0
